date,spx,spx_timestamp,spx_n_bars,vix,vix_timestamp,vix_n_bars,vix3m,vix3m_timestamp,vix3m_n_bars,vix6m,vix6m_timestamp,vix6m_n_bars
2014-06-04,1927.74,2014-06-04 16:00:00,391,12.09,2014-06-04 16:00:00,390,13.78,2014-06-04 16:00:00,390,15.59,2014-06-04 16:00:00,390
2014-06-05,1940.29,2014-06-05 16:00:00,391,11.71,2014-06-05 16:00:00,390,13.45,2014-06-05 16:00:00,390,15.33,2014-06-05 16:00:00,390
2014-06-06,1949.31,2014-06-06 16:00:00,391,10.79,2014-06-06 16:00:00,390,12.78,2014-06-06 16:00:00,390,14.83,2014-06-06 16:00:00,390
2014-06-09,1951.25,2014-06-09 16:00:00,391,11.07,2014-06-09 16:00:00,390,12.99,2014-06-09 16:00:00,390,15.02,2014-06-09 16:00:00,390
2014-06-10,1950.86,2014-06-10 16:00:00,391,11.05,2014-06-10 16:00:00,390,13.02,2014-06-10 16:00:00,390,14.98,2014-06-10 16:00:00,390
2014-06-11,1943.99,2014-06-11 16:00:00,391,11.63,2014-06-11 16:00:00,390,13.28,2014-06-11 16:00:00,390,15.16,2014-06-11 16:00:00,390
2014-06-12,1930.05,2014-06-12 16:00:00,391,12.58,2014-06-12 16:00:00,390,14.04,2014-06-12 16:00:00,390,15.69,2014-06-12 16:00:00,390
2014-06-13,1935.97,2014-06-13 16:00:00,391,12.04,2014-06-13 16:00:00,390,13.82,2014-06-13 16:00:00,390,15.56,2014-06-13 16:00:00,390
2014-06-16,1937.78,2014-06-16 16:00:00,391,12.64,2014-06-16 16:00:00,390,13.93,2014-06-16 16:00:00,390,15.7,2014-06-16 16:00:00,390
2014-06-17,1942.09,2014-06-17 16:00:00,391,12.2,2014-06-17 15:59:00,389,13.66,2014-06-17 16:00:00,390,15.5,2014-06-17 16:00:00,390
2014-06-18,1956.98,2014-06-18 16:00:00,391,10.59,2014-06-18 16:00:00,388,12.64,2014-06-18 16:00:00,390,14.87,2014-06-18 16:00:00,390
2014-06-19,1959.36,2014-06-19 16:00:00,391,10.71,2014-06-19 16:00:00,390,12.57,2014-06-19 16:00:00,390,14.7,2014-06-19 16:00:00,390
2014-06-20,1963.02,2014-06-20 16:00:00,391,10.71,2014-06-20 16:00:00,390,12.82,2014-06-20 16:00:00,390,14.83,2014-06-20 16:00:00,390
2014-06-23,1962.55,2014-06-23 16:00:00,391,10.99,2014-06-23 16:00:00,390,12.88,2014-06-23 16:00:00,390,14.89,2014-06-23 16:00:00,390
2014-06-24,1950.04,2014-06-24 16:00:00,391,12.06,2014-06-24 16:00:00,390,13.37,2014-06-24 16:00:00,390,15.2,2014-06-24 16:00:00,390
2014-06-25,1959.49,2014-06-25 16:00:00,391,11.43,2014-06-25 16:00:00,390,13.08,2014-06-25 16:00:00,390,14.93,2014-06-25 16:00:00,390
2014-06-26,1957.23,2014-06-26 16:00:00,391,11.53,2014-06-26 16:00:00,390,13.06,2014-06-26 16:00:00,390,14.89,2014-06-26 16:00:00,390
2014-06-27,1960.98,2014-06-27 16:00:00,391,11.28,2014-06-27 16:00:00,390,12.77,2014-06-27 16:00:00,390,14.68,2014-06-27 16:00:00,390
2014-06-30,1960.02,2014-06-30 16:00:00,391,11.67,2014-06-30 16:00:00,390,12.95,2014-06-30 16:00:00,390,14.71,2014-06-30 16:00:00,390
2014-07-01,1973.23,2014-07-01 16:00:00,391,11.04,2014-07-01 16:00:00,390,12.67,2014-07-01 16:00:00,390,14.48,2014-07-01 16:00:00,390
2014-07-02,1974.57,2014-07-02 16:00:00,391,10.88,2014-07-02 16:00:00,390,12.48,2014-07-02 16:00:00,390,14.22,2014-07-02 16:00:00,390
2014-07-03,1985.44,2014-07-03 13:46:00,231,10.32,2014-07-03 13:14:00,224,12.24,2014-07-03 13:14:00,224,14.04,2014-07-03 13:14:00,224
2014-07-07,1977.56,2014-07-07 16:00:00,391,11.34,2014-07-07 16:00:00,390,12.85,2014-07-07 16:00:00,390,14.46,2014-07-07 16:00:00,390
2014-07-08,1963.87,2014-07-08 16:00:00,391,12.13,2014-07-08 16:00:00,390,13.27,2014-07-08 16:00:00,390,14.83,2014-07-08 16:00:00,390
2014-07-09,1972.8,2014-07-09 16:00:00,391,11.6,2014-07-09 16:00:00,390,12.96,2014-07-09 16:00:00,390,14.6,2014-07-09 16:00:00,390
2014-07-10,1964.7,2014-07-10 16:00:00,391,12.58,2014-07-10 16:00:00,390,13.56,2014-07-10 16:00:00,390,15.05,2014-07-10 16:00:00,390
2014-07-11,1967.53,2014-07-11 16:00:00,391,12.12,2014-07-11 16:00:00,390,13.28,2014-07-11 16:00:00,390,14.84,2014-07-11 16:00:00,390
2014-07-14,1977.11,2014-07-14 16:00:00,391,11.82,2014-07-14 16:00:00,390,12.93,2014-07-14 16:00:00,390,14.5,2014-07-14 16:00:00,390
2014-07-15,1973.38,2014-07-15 16:00:00,391,12.11,2014-07-15 16:00:00,390,13.14,2014-07-15 16:00:00,390,14.69,2014-07-15 16:00:00,390
2014-07-16,1981.41,2014-07-16 16:00:00,391,10.81,2014-07-16 16:00:00,389,12.65,2014-07-16 16:00:00,390,14.38,2014-07-16 16:00:00,390
2014-07-17,1958.15,2014-07-17 16:00:00,391,14.88,2014-07-17 16:00:00,390,12.63,2014-07-17 16:00:00,390,15.64,2014-07-17 16:00:00,390
2014-07-18,1978.13,2014-07-18 16:00:00,391,12.3,2014-07-18 16:00:00,390,13.36,2014-07-18 16:00:00,390,14.67,2014-07-18 16:00:00,390
2014-07-21,1973.66,2014-07-21 16:00:00,391,12.48,2014-07-21 16:00:00,390,13.72,2014-07-21 16:00:00,390,14.91,2014-07-21 16:00:00,390
2014-07-22,1983.49,2014-07-22 16:00:00,391,11.84,2014-07-22 16:00:00,390,13.42,2014-07-22 16:00:00,390,14.71,2014-07-22 16:00:00,390
2014-07-23,1987.15,2014-07-23 16:00:00,391,11.54,2014-07-23 16:00:00,390,13.4,2014-07-23 16:00:00,390,14.79,2014-07-23 16:00:00,390
2014-07-24,1987.88,2014-07-24 16:00:00,391,11.89,2014-07-24 16:00:00,390,13.44,2014-07-24 16:00:00,390,14.99,2014-07-24 16:00:00,390
2014-07-25,1978.29,2014-07-25 16:00:00,391,12.55,2014-07-25 16:00:00,390,13.91,2014-07-25 16:00:00,390,15.31,2014-07-25 16:00:00,390
2014-07-28,1978.82,2014-07-28 16:00:00,391,12.65,2014-07-28 16:00:00,390,13.92,2014-07-28 16:00:00,390,15.34,2014-07-28 16:00:00,390
2014-07-29,1970.14,2014-07-29 16:00:00,391,13.26,2014-07-29 16:00:00,390,14.18,2014-07-29 16:00:00,390,15.56,2014-07-29 16:00:00,390
2014-07-30,1970.17,2014-07-30 16:00:00,391,13.42,2014-07-30 16:00:00,390,14.23,2014-07-30 16:00:00,390,15.55,2014-07-30 16:00:00,390
2014-07-31,1930.76,2014-07-31 16:00:00,391,17.09,2014-07-31 16:00:00,390,16.48,2014-07-31 16:00:00,390,17.17,2014-07-31 16:00:00,390
2014-08-01,1925.31,2014-08-01 16:00:00,391,17.02,2014-08-01 16:00:00,390,16.75,2014-08-01 16:00:00,390,17.48,2014-08-01 16:00:00,390
2014-08-04,1939.09,2014-08-04 16:00:00,391,15.0,2014-08-04 16:00:00,390,15.73,2014-08-04 16:00:00,390,16.88,2014-08-04 16:00:00,390
2014-08-05,1920.1,2014-08-05 16:00:00,391,16.59,2014-08-05 16:00:00,390,16.98,2014-08-05 16:00:00,390,17.84,2014-08-05 16:00:00,390
2014-08-06,1920.17,2014-08-06 16:00:00,391,16.3,2014-08-06 16:00:00,390,16.87,2014-08-06 16:00:00,390,17.94,2014-08-06 16:00:00,390
