date,spx,spx_timestamp,spx_n_bars,vix,vix_timestamp,vix_n_bars,vix3m,vix3m_timestamp,vix3m_n_bars,vix6m,vix6m_timestamp,vix6m_n_bars,spx_log_return,sq_log_return,iv_1m,iv_3m,iv_6m,rv_1m,rv_1m_end_date,rv_1m_n_returns,rv_3m,rv_3m_end_date,rv_3m_n_returns,rv_6m,rv_6m_end_date,rv_6m_n_returns,vrp_1m,vrp_3m,vrp_6m,iv_slope_3m_1m,iv_slope_6m_3m,vrp_slope_3m_1m,vrp_slope_6m_3m,slope_3m_1m,slope_6m_3m,slope_6m_1m,year,vix_regime
2014-06-30,1960.02,2014-06-30 16:00:00,391,11.67,2014-06-30 16:00:00,390,12.95,2014-06-30 16:00:00,390,14.71,2014-06-30 16:00:00,390,-0.0004896710120796,2.397777000711101e-07,0.01361889,0.01677025,0.02163841,0.0064997165519596,2014-07-30,21.0,0.009270387353878,2014-10-01,65.0,0.0142772548980871,2014-12-31,128.0,0.0071191734480403,0.0074998626461219,0.0073611551019128,0.00315136,0.00486816,0.0003806891980816,-0.0001387075442091,0.00038068919808160063,-0.0001387075442091006,0.00024198165387250004,2014,Q1 lowest
2014-07-31,1930.76,2014-07-31 16:00:00,391,17.09,2014-07-31 16:00:00,390,16.48,2014-07-31 16:00:00,390,17.17,2014-07-31 16:00:00,390,-0.0202061256547128,0.000408287513974,0.02920681,0.02715904,0.02948089,0.0062148808079347,2014-09-02,22.0,0.0159989559641882,2014-11-03,66.0,0.0172257898601469,2015-02-02,127.0,0.0229919291920652,0.0111600840358117,0.012255100139853,-0.0020477699999999,0.00232185,-0.0118318451562535,0.0010950161040412,-0.011831845156253499,0.0010950161040413006,-0.010736829052212198,2014,Q3
2014-08-29,2003.29,2014-08-29 16:00:00,391,12.15,2014-08-29 16:00:00,390,14.26,2014-08-29 16:00:00,390,16.0,2014-08-29 16:00:00,390,0.003209874361156,1.0303293414406884e-05,0.01476225,0.02033476,0.0256,0.0089659177603403,2014-09-29,20.0,0.015138178368164,2014-12-01,64.0,0.0177599565964257,2015-03-02,125.0,0.0057963322396596,0.0051965816318359,0.0078400434035742,0.00557251,0.00526524,-0.0005997506078237,0.0026434617717383,-0.0005997506078236998,0.0026434617717382997,0.0020437111639146,2014,Q1 lowest
2014-09-30,1972.44,2014-09-30 16:00:00,391,16.2,2014-09-30 16:00:00,390,17.04,2014-09-30 16:00:00,390,18.21,2014-09-30 16:00:00,390,-0.0027390411247311,7.50234628296865e-06,0.026244,0.02903616,0.03316041,0.0320497293223273,2014-10-30,22.0,0.0195428446967037,2015-01-02,65.0,0.0194200813494551,2015-04-02,127.0,-0.0058057293223273,0.0094933153032962,0.0137403286505448,0.0027921599999999,0.00412425,0.0152990446256236,0.0042470133472485,0.015299044625623499,0.0042470133472486005,0.0195460579728721,2014,Q3
2014-10-31,2017.56,2014-10-31 16:00:00,391,14.03,2014-10-31 16:00:00,390,16.46,2014-10-31 16:00:00,390,18.14,2014-10-31 16:00:00,390,0.0114403179870887,0.0001308808756457,0.0196840899999999,0.0270931599999999,0.03290596,0.0024779221669234,2014-12-01,20.0,0.0182539453999759,2015-02-02,62.0,0.0151869291674914,2015-05-04,125.0,0.0172061678330765,0.008839214600024,0.0177190308325085,0.00740907,0.0058128,-0.0083669532330525,0.0088798162324845,-0.0083669532330525,0.008879816232484499,0.0005128629994319983,2014,Q2
2014-11-28,2067.56,2014-11-28 13:47:00,231,13.33,2014-11-28 13:14:00,224,15.93,2014-11-28 13:14:00,224,17.94,2014-11-28 13:14:00,224,-0.0025167089337974,6.333823857456019e-06,0.01776889,0.0253764899999999,0.03218436,0.0230554382357443,2014-12-29,20.0,0.0203696432717946,2015-03-02,62.0,0.0164101008872349,2015-06-01,125.0,-0.0052865482357443,0.0050068467282053,0.015774259112765,0.0076075999999999,0.00680787,0.0102933949639497,0.0107674123845596,0.0102933949639496,0.0107674123845597,0.021060807348509302,2014,Q2
2014-12-31,2058.9,2014-12-31 16:00:00,391,19.17,2014-12-31 16:00:00,390,20.16,2014-12-31 16:00:00,390,20.71,2014-12-31 16:00:00,390,-0.0103594822927449,0.0001073188733736,0.03674889,0.04064256,0.04289041,0.0279273371258419,2015-01-30,20.0,0.0188651797201804,2015-04-06,64.0,0.0144927287904413,2015-07-06,127.0,0.0088215528741581,0.0217773802798195,0.0283976812095586,0.0038936699999999,0.00224785,0.0129558274056614,0.0066203009297391,0.0129558274056614,0.006620300929739101,0.0195761283354005,2014,Q4
2015-01-30,1995.24,2015-01-30 16:00:00,391,22.01,2015-01-30 16:00:00,390,22.54,2015-01-30 16:00:00,390,22.17,2015-01-30 16:00:00,390,-0.0130210497216475,0.0001695477358536,0.04844401,0.0508051599999999,0.04915089,0.0104993715704978,2015-03-02,20.0,0.0126194371096438,2015-05-04,64.0,0.0122738613782251,2015-08-03,127.0,0.0379446384295021,0.0381857228903561,0.0368770286217748,0.0023611499999999,-0.0016542699999999,0.000241084460854,-0.0013086942685813,0.00024108446085399637,-0.0013086942685813022,-0.0010676098077273058,2015,Q4
2015-02-27,2104.48,2015-02-27 16:00:00,391,13.5,2015-02-27 16:00:00,390,17.05,2015-02-27 16:00:00,390,18.44,2015-02-27 16:00:00,390,-0.0029844040892367,8.906667767852985e-06,0.018225,0.02907025,0.03400336,0.0195468643010556,2015-03-30,21.0,0.0124615433696402,2015-06-01,64.0,0.0221460806763414,2015-08-31,128.0,-0.0013218643010556,0.0166087066303597,0.0118572793236585,0.01084525,0.0049331099999999,0.0179305709314153,-0.0047514273067011,0.0179305709314153,-0.0047514273067012,0.013179143624714099,2015,Q2
2015-03-31,2068.03,2015-03-31 16:00:00,391,15.44,2015-03-31 16:00:00,390,17.59,2015-03-31 16:00:00,390,19.13,2015-03-31 16:00:00,390,-0.008742972533183,7.643956871599253e-05,0.0238393599999999,0.03094081,0.03659569,0.0069296051202528,2015-04-30,21.0,0.0099696837023352,2015-07-02,65.0,0.0267801531229685,2015-10-01,128.0,0.0169097548797471,0.0209711262976647,0.0098155368770314,0.00710145,0.00565488,0.0040613714179176,-0.0111555894206332,0.004061371417917601,-0.011155589420633301,-0.0070942180027157,2015,Q3
2015-04-30,2085.48,2015-04-30 16:00:00,391,14.62,2015-04-30 16:00:00,390,16.51,2015-04-30 16:00:00,390,18.3,2015-04-30 16:00:00,390,-0.0101711640445915,0.0001034525780219,0.0213744399999999,0.02725801,0.033489,0.010584292690146,2015-06-01,21.0,0.0120418212625323,2015-08-03,65.0,0.0288230143267658,2015-11-02,129.0,0.0107901473098539,0.0152161887374676,0.0046659856732341,0.00588357,0.0062309899999999,0.0044260414276137,-0.0105502030642334,0.0044260414276137,-0.0105502030642335,-0.0061241616366198,2015,Q2
2015-05-29,2107.44,2015-05-29 16:00:00,391,14.15,2015-05-29 16:00:00,390,15.5,2015-05-29 16:00:00,390,17.43,2015-05-29 16:00:00,390,-0.0063571561580089,4.041343441731122e-05,0.02002225,0.024025,0.03038049,0.0127033784770906,2015-06-29,21.0,0.0313571737047934,2015-08-31,65.0,0.0292239073496654,2015-11-30,128.0,0.0073188715229093,-0.0073321737047934,0.0011565826503345,0.0040027499999999,0.00635549,-0.0146510452277027,0.0084887563551279,-0.0146510452277027,0.0084887563551279,-0.006162288872574801,2015,Q2
2015-06-30,2062.9,2015-06-30 16:00:00,391,18.55,2015-06-30 16:00:00,390,18.39,2015-06-30 16:00:00,390,19.02,2015-06-30 16:00:00,390,0.0025287654323023,6.394654611607358e-06,0.0344102499999999,0.03381921,0.03617604,0.0137947696379894,2015-07-30,21.0,0.0429652628405755,2015-10-01,65.0,0.0326746621989382,2015-12-31,128.0,0.0206154803620105,-0.0091460528405755,0.0035013778010617,-0.0005910399999999,0.0023568299999999,-0.0297615332025861,0.0126474306416372,-0.029761533202586,0.0126474306416372,-0.0171141025609488,2015,Q4
2015-07-31,2104.36,2015-07-31 16:00:00,391,12.18,2015-07-31 16:00:00,390,14.91,2015-07-31 16:00:00,390,16.42,2015-07-31 16:00:00,390,-0.0020839719773713,4.342939202469184e-06,0.0148352399999999,0.02223081,0.02696164,0.0704309193692258,2015-08-31,21.0,0.0451967454999806,2015-11-02,65.0,0.0394781021407808,2016-02-01,126.0,-0.0555956793692258,-0.0229659354999806,-0.0125164621407808,0.00739557,0.00473083,0.0326297438692452,0.0104494733591997,0.0326297438692452,0.0104494733591998,0.043079217228445,2015,Q1 lowest
2015-08-31,1972.19,2015-08-31 16:00:00,391,28.41,2015-08-31 16:00:00,390,26.42,2015-08-31 16:00:00,390,25.27,2015-08-31 16:00:00,390,-0.0082812444642416,6.857900987653281e-05,0.08071281,0.06980164,0.0638572899999999,0.0486531370946095,2015-09-30,21.0,0.027073304516556,2015-12-02,65.0,0.0340823410270785,2016-03-02,126.0,0.0320596729053904,0.0427283354834439,0.0297749489729214,-0.01091117,-0.00594435,0.0106686625780534,-0.0129533865105224,0.010668662578053503,-0.012953386510522504,-0.0022847239324690002,2015,Q5 highest
2015-09-30,1919.59,2015-09-30 16:00:00,391,24.34,2015-09-30 16:00:00,390,24.62,2015-09-30 16:00:00,390,24.0,2015-09-30 16:00:00,390,0.0187356770634793,0.0003510255950269,0.05924356,0.06061444,0.0576,0.0182931546065307,2015-10-30,22.0,0.0222898153294432,2016-01-04,65.0,0.0274107485665852,2016-04-01,126.0,0.0409504053934692,0.0383246246705567,0.0301892514334147,0.0013708799999999,-0.00301444,-0.0026257807229124,-0.008135373237142,-0.002625780722912495,-0.008135373237142002,-0.010761153960054497,2015,Q5 highest
2015-10-30,2079.44,2015-10-30 16:00:00,391,15.25,2015-10-30 16:00:00,390,18.26,2015-10-30 16:00:00,390,19.92,2015-10-30 16:00:00,390,-0.004763958434351,2.2695299964224357e-05,0.02325625,0.03334276,0.03968064,0.0139139284807561,2015-11-30,20.0,0.0334036497202285,2016-02-01,62.0,0.0260972891848002,2016-05-02,125.0,0.0093423215192438,-6.088972022855188e-05,0.0135833508151997,0.01008651,0.0063378799999999,-0.0094032112394723,0.0136442405354283,-0.009403211239472352,0.013644240535428252,0.004241029295955901,2015,Q3
2015-11-30,2080.84,2015-11-30 16:00:00,391,16.23,2015-11-30 16:00:00,390,18.59,2015-11-30 16:00:00,390,20.17,2015-11-30 16:00:00,390,-0.0044450378275112,1.9758361288006368e-05,0.02634129,0.03455881,0.04068289,0.0327267740276715,2015-12-30,21.0,0.0411417638010523,2016-03-02,63.0,0.0255360756780166,2016-06-01,126.0,-0.0063854840276715,-0.0065829538010523,0.0151468143219834,0.00821752,0.00612408,-0.0001974697733807,0.0217297681230357,-0.00019746977338079997,0.0217297681230357,0.0215322983496549,2015,Q3
2015-12-31,2043.76,2015-12-31 16:00:00,391,18.59,2015-12-31 16:00:00,390,20.19,2015-12-31 16:00:00,390,21.14,2015-12-31 16:00:00,390,-0.0095153941912304,9.054272661450264e-05,0.03455881,0.04076361,0.04468996,0.0541334345675545,2016-02-01,20.0,0.032788509876113,2016-04-04,63.0,0.025587574712592,2016-07-05,127.0,-0.0195746245675545,0.007975100123887,0.0191023852874079,0.0062048,0.0039263499999999,0.0275497246914415,0.0111272851635209,0.0275497246914415,0.011127285163520899,0.0386770098549624,2015,Q4
2016-01-29,1939.46,2016-01-29 16:00:00,391,20.18,2016-01-29 16:00:00,390,22.23,2016-01-29 16:00:00,390,22.85,2016-01-29 16:00:00,390,0.0241516289431567,0.0005833011806079,0.04072324,0.0494172899999999,0.05221225,0.0327400713138364,2016-02-29,20.0,0.018611564352654,2016-05-02,64.0,0.0179018548103332,2016-08-01,127.0,0.0079831686861636,0.0308057256473459,0.0343103951896668,0.0086940499999999,0.00279496,0.0228225569611823,0.0035046695423208,0.0228225569611823,0.003504669542320895,0.026327226503503196,2016,Q4
2016-02-29,1932.03,2016-02-29 16:00:00,391,20.63,2016-02-29 16:00:00,390,22.44,2016-02-29 16:00:00,390,22.93,2016-02-29 16:00:00,390,-0.0082268081168617,6.768037179166163e-05,0.0425596899999999,0.05035536,0.05257849,0.014960225409265,2016-03-30,21.0,0.011846179219051,2016-06-01,65.0,0.0130794471681714,2016-08-31,129.0,0.0275994645907349,0.0385091807809489,0.0394990428318285,0.00779567,0.0022231299999999,0.010909716190214,0.0009898620508795,0.010909716190214,0.0009898620508796002,0.011899578241093601,2016,Q4
2016-03-31,2059.73,2016-03-31 16:00:00,391,14.04,2016-03-31 16:00:00,390,17.13,2016-03-31 16:00:00,390,19.05,2016-03-31 16:00:00,390,-0.0020854761472381,4.349210760699139e-06,0.01971216,0.0293436899999999,0.03629025,0.0100489980721304,2016-05-02,22.0,0.0181347937771077,2016-07-05,66.0,0.0139196646883966,2016-10-03,129.0,0.0096631619278695,0.0112088962228922,0.0223705853116033,0.0096315299999999,0.00694656,0.0015457342950226,0.0111616890887111,0.0015457342950227007,0.0111616890887111,0.0127074233837338,2016,Q2
2016-04-29,2065.42,2016-04-29 16:00:00,391,15.67,2016-04-29 16:00:00,750,18.47,2016-04-29 16:00:00,390,20.26,2016-04-29 16:00:00,390,-0.0050997357832705,2.6007305059170372e-05,0.02455489,0.0341140899999999,0.04104676,0.0118246740404433,2016-05-31,21.0,0.0171460253289955,2016-08-01,64.0,0.0131105786651462,2016-10-31,128.0,0.0127302159595566,0.0169680646710044,0.0279361813348537,0.0095591999999999,0.00693267,0.0042378487114478,0.0109681166638492,0.004237848711447799,0.010968116663849302,0.0152059653752971,2016,Q3
2016-05-31,2096.98,2016-05-31 16:00:00,391,14.51,2016-05-31 16:00:00,750,16.77,2016-05-31 16:00:00,390,19.11,2016-05-31 16:00:00,390,-0.0009151835295622,8.375608927819974e-07,0.02105401,0.0281232899999999,0.0365192099999999,0.0331689288557845,2016-06-30,22.0,0.013902159864126,2016-09-01,66.0,0.0129240415403474,2016-12-01,129.0,-0.0121149188557844,0.0142211301358739,0.0235951684596525,0.0070692799999999,0.00839592,0.0263360489916584,0.0093740383237785,0.026336048991658298,0.0093740383237786,0.0357100873154369,2016,Q2
2016-06-30,2098.87,2016-06-30 16:00:00,391,16.01,2016-06-30 16:00:00,750,18.14,2016-06-30 16:00:00,390,19.91,2016-06-30 16:00:00,390,0.0135461958671239,0.0001834994224704,0.02563201,0.03290596,0.03964081,0.0056814776847211,2016-08-01,21.0,0.0094072980961997,2016-10-03,65.0,0.0084501353585772,2017-01-03,128.0,0.0199505323152788,0.0234986619038002,0.0311906746414227,0.0072739499999999,0.0067348499999999,0.0035481295885214,0.0076920127376224,0.003548129588521399,0.007692012737622503,0.011240142326143902,2016,Q3
2016-07-29,2173.48,2016-07-29 16:00:00,391,12.03,2016-07-29 16:00:00,750,15.49,2016-07-29 16:00:00,390,17.92,2016-07-29 16:00:00,390,0.0015839690938383,2.5089580902352294e-06,0.0144720899999999,0.02399401,0.03211264,0.0031634826336822,2016-08-29,21.0,0.0089414604944806,2016-10-31,65.0,0.0081646304213246,2017-01-30,126.0,0.0113086073663177,0.0150525495055194,0.0239480095786753,0.00952192,0.00811863,0.0037439421392016,0.0088954600731559,0.0037439421392017006,0.0088954600731559,0.012639402212357601,2016,Q1 lowest
2016-08-31,2170.84,2016-08-31 16:00:00,391,13.48,2016-08-31 16:00:00,750,16.18,2016-08-31 16:00:00,390,18.53,2016-08-31 16:00:00,390,-0.0024430710174642,5.968595996373815e-06,0.01817104,0.02617924,0.03433609,0.0200460929216039,2016-09-30,21.0,0.0115339188022837,2016-12-02,65.0,0.0084889766740254,2017-03-03,126.0,-0.0018750529216039,0.0146453211977162,0.0258471133259745,0.0080082,0.00815685,0.0165203741193201,0.0112017921282583,0.0165203741193201,0.011201792128258298,0.027722166247578398,2016,Q2
2016-09-30,2168.09,2016-09-30 16:00:00,391,13.23,2016-09-30 16:00:00,750,16.33,2016-09-30 16:00:00,390,18.45,2016-09-30 16:00:00,390,0.0078579588958128,6.174751800828479e-05,0.01750329,0.0266668899999999,0.03404025,0.0043488546033716,2016-10-31,21.0,0.0073878717672895,2017-01-03,64.0,0.0058580058023761,2017-04-03,126.0,0.0131544353966283,0.0192790182327104,0.0281822441976239,0.0091635999999999,0.00737336,0.006124582836082,0.0089032259649134,0.006124582836082101,0.008903225964913497,0.015027808800995598,2016,Q2
2016-10-31,2126.23,2016-10-31 16:00:00,391,17.24,2016-10-31 16:00:00,750,17.92,2016-10-31 16:00:00,390,19.35,2016-10-31 16:00:00,390,-0.0001128694712791,1.2739517546844612e-08,0.02972176,0.03211264,0.03744225,0.0111441252035202,2016-11-30,21.0,0.0071065365942837,2017-02-01,63.0,0.0059141797519141,2017-05-03,126.0,0.0185776347964797,0.0250061034057162,0.0315280702480858,0.00239088,0.0053296099999999,0.0064284686092364,0.0065219668423695,0.006428468609236498,0.006521966842369602,0.0129504354516061,2016,Q3
2016-11-30,2199.08,2016-11-30 16:00:00,391,13.35,2016-11-30 16:00:00,750,16.06,2016-11-30 16:00:00,390,18.22,2016-11-30 16:00:00,390,-0.0025795683538192,6.654172892025927e-06,0.01782225,0.0257923599999999,0.03319684,0.0062117999686714,2016-12-30,21.0,0.0051315957718856,2017-03-03,63.0,0.0051862713230199,2017-06-02,126.0,0.0116104500313285,0.0206607642281143,0.02801056867698,0.0079701099999999,0.00740448,0.0090503141967858,0.0073498044488656,0.0090503141967858,0.0073498044488656995,0.0164001186456515,2016,Q2
2016-12-30,2239.2,2016-12-30 16:00:00,391,14.15,2016-12-30 16:00:00,750,16.6,2016-12-30 16:00:00,390,18.61,2016-12-30 16:00:00,390,-0.0045315177899032,2.0534653480209808e-05,0.02002225,0.027556,0.03463321,0.004372319596297,2017-01-30,19.0,0.0044810850128977,2017-04-03,63.0,0.0048936294619962,2017-07-03,126.0,0.0156499304037029,0.0230749149871022,0.0297395805380037,0.0075337499999999,0.0070772099999999,0.0074249845833992,0.0066646655509014,0.0074249845833993,0.006664665550901498,0.014089650134300798,2016,Q2
2017-01-31,2278.92,2017-01-31 16:00:00,391,11.97,2017-01-31 16:00:00,750,14.46,2017-01-31 16:00:00,390,16.68,2017-01-31 16:00:00,390,-0.0007719975819854,5.959802665913106e-07,0.01432809,0.02090916,0.02782224,0.0052172275267249,2017-03-02,21.0,0.0045784340481146,2017-05-04,65.0,0.0046730710862064,2017-08-03,128.0,0.009110862473275,0.0163307259518853,0.0231491689137935,0.00658107,0.0069130799999999,0.0072198634786103,0.0068184429619081,0.007219863478610301,0.0068184429619082,0.0140383064405185,2017,Q1 lowest
2017-02-28,2363.87,2017-02-28 16:00:00,391,12.8,2017-02-28 16:00:00,750,15.24,2017-02-28 16:00:00,390,16.92,2017-02-28 16:00:00,390,-0.0024716982156374,6.10929206918513e-06,0.016384,0.02322576,0.02862864,0.0064461614373893,2017-03-30,22.0,0.0058678241207637,2017-06-01,65.0,0.005653544439856,2017-08-31,129.0,0.0099378385626106,0.0173579358792362,0.0229750955601439,0.00684176,0.00540288,0.0074200973166256,0.0056171596809077,0.0074200973166255995,0.005617159680907702,0.013037256997533301,2017,Q1 lowest
2017-03-31,2362.69,2017-03-31 16:00:00,391,12.29,2017-03-31 16:00:00,750,13.58,2017-03-31 16:00:00,390,15.24,2017-03-31 16:00:00,390,-0.002270254106194,5.154053706690981e-06,0.0151044099999999,0.01844164,0.02322576,0.00492085680882,2017-05-01,20.0,0.0052334666598403,2017-07-03,64.0,0.0051439785618211,2017-10-02,127.0,0.0101835531911799,0.0132081733401596,0.0180817814381788,0.00333723,0.0047841199999999,0.0030246201489796,0.0048736080980192,0.0030246201489797005,0.0048736080980192,0.0078982282469989,2017,Q1 lowest
