date,close,close_timestamp,n_bars
2008-01-02,23.35,2008-01-02,389
2008-01-03,22.65,2008-01-03,390
2008-01-04,24.1,2008-01-04,389
2008-01-07,23.62,2008-01-07,390
2008-01-08,25.44,2008-01-08,390
2008-01-09,23.95,2008-01-09,390
2008-01-10,23.18,2008-01-10,390
2008-01-11,23.77,2008-01-11,390
2008-01-14,22.86,2008-01-14,390
2008-01-15,23.41,2008-01-15,378
2008-01-16,24.27,2008-01-16,390
2008-01-17,28.29,2008-01-17,390
2008-01-18,27.55,2008-01-18,390
2008-01-22,30.8,2008-01-22,390
2008-01-23,28.95,2008-01-23,386
2008-01-24,27.37,2008-01-24,390
2008-01-25,29.2,2008-01-25,390
2008-01-28,27.73,2008-01-28,372
2008-01-29,27.17,2008-01-29,390
2008-01-30,27.52,2008-01-30,368
2008-01-31,26.21,2008-01-31,389
2008-02-01,24.26,2008-02-01,352
2008-02-04,25.72,2008-02-04,390
2008-02-05,28.39,2008-02-05,390
2008-02-06,29.11,2008-02-06,390
2008-02-07,27.63,2008-02-07,390
2008-02-08,27.96,2008-02-08,390
2008-02-11,27.54,2008-02-11,390
2008-02-12,26.53,2008-02-12,366
2008-02-13,24.81,2008-02-13,390
2008-02-14,25.42,2008-02-14,389
2008-02-15,25.04,2008-02-15,390
2008-02-19,25.87,2008-02-19,390
2008-02-20,24.43,2008-02-20,390
2008-02-21,25.3,2008-02-21,390
2008-02-22,24.15,2008-02-22,390
2008-02-25,23.09,2008-02-25,390
2008-02-26,21.95,2008-02-26,390
2008-02-27,22.71,2008-02-27,390
2008-02-28,23.32,2008-02-28,390
2008-02-29,26.6,2008-02-29,390
2008-03-03,26.53,2008-03-03,390
2008-03-04,25.69,2008-03-04,390
2008-03-05,24.66,2008-03-05,390
2008-03-06,27.69,2008-03-06,390
2008-03-07,27.48,2008-03-07,390
2008-03-10,29.46,2008-03-10,390
2008-03-11,26.77,2008-03-11,390
2008-03-12,27.2,2008-03-12,390
2008-03-13,27.08,2008-03-13,390
2008-03-14,32.46,2008-03-14,390
2008-03-17,32.12,2008-03-17,390
2008-03-18,25.83,2008-03-18,390
2008-03-19,29.81,2008-03-19,390
2008-03-20,26.45,2008-03-20,390
2008-03-24,25.72,2008-03-24,390
2008-03-25,25.59,2008-03-25,390
2008-03-26,25.8,2008-03-26,390
2008-03-27,25.79,2008-03-27,390
2008-03-28,25.72,2008-03-28,390
2008-03-31,25.6,2008-03-31,390
2008-04-01,22.63,2008-04-01,390
2008-04-02,23.32,2008-04-02,390
2008-04-03,23.33,2008-04-03,390
2008-04-04,22.44,2008-04-04,390
2008-04-07,22.32,2008-04-07,390
2008-04-08,22.47,2008-04-08,390
2008-04-09,22.99,2008-04-09,390
2008-04-10,22.04,2008-04-10,390
2008-04-11,23.49,2008-04-11,390
2008-04-14,23.92,2008-04-14,390
2008-04-15,22.74,2008-04-15,390
2008-04-16,20.67,2008-04-16,390
2008-04-17,20.92,2008-04-17,390
2008-04-18,19.93,2008-04-18,390
2008-04-21,20.35,2008-04-21,390
2008-04-22,20.97,2008-04-22,390
2008-04-23,20.1,2008-04-23,390
2008-04-24,19.95,2008-04-24,390
2008-04-25,19.48,2008-04-25,390
2008-04-28,19.66,2008-04-28,386
2008-04-29,20.21,2008-04-29,390
2008-04-30,20.71,2008-04-30,390
2008-05-01,18.98,2008-05-01,390
2008-05-02,18.29,2008-05-02,390
2008-05-05,18.97,2008-05-05,347
2008-05-06,18.31,2008-05-06,390
2008-05-07,19.81,2008-05-07,390
2008-05-08,19.11,2008-05-08,390
2008-05-09,19.45,2008-05-09,390
2008-05-12,17.78,2008-05-12,390
2008-05-13,18.0,2008-05-13,388
2008-05-14,17.54,2008-05-14,387
2008-05-15,16.32,2008-05-15,390
2008-05-16,16.52,2008-05-16,390
2008-05-19,16.99,2008-05-19,390
2008-05-20,17.7,2008-05-20,390
2008-05-21,18.76,2008-05-21,390
2008-05-22,18.08,2008-05-22,390
2008-05-23,19.4,2008-05-23,390
2008-05-27,19.62,2008-05-27,390
2008-05-28,19.08,2008-05-28,390
2008-05-29,18.19,2008-05-29,390
2008-05-30,17.89,2008-05-30,390
2008-06-02,19.82,2008-06-02,390
2008-06-03,20.24,2008-06-03,390
2008-06-04,20.94,2008-06-04,390
2008-06-05,18.69,2008-06-05,390
2008-06-06,23.76,2008-06-06,390
2008-06-09,23.35,2008-06-09,390
2008-06-10,23.14,2008-06-10,390
2008-06-11,23.86,2008-06-11,390
2008-06-12,23.34,2008-06-12,390
2008-06-13,21.12,2008-06-13,390
2008-06-16,20.88,2008-06-16,390
2008-06-17,21.16,2008-06-17,390
2008-06-18,22.17,2008-06-18,390
2008-06-19,21.45,2008-06-19,390
2008-06-20,23.01,2008-06-20,390
2008-06-23,22.56,2008-06-23,390
2008-06-24,22.47,2008-06-24,390
2008-06-25,21.12,2008-06-25,390
2008-06-26,23.92,2008-06-26,390
2008-06-27,23.6,2008-06-27,390
2008-06-30,24.04,2008-06-30,390
2008-07-01,23.66,2008-07-01,390
2008-07-02,25.78,2008-07-02,390
2008-07-03,24.8,2008-07-03,334
2008-07-07,25.74,2008-07-07,390
2008-07-08,23.11,2008-07-08,390
2008-07-09,25.38,2008-07-09,390
2008-07-10,25.67,2008-07-10,390
2008-07-11,27.04,2008-07-11,390
2008-07-14,28.46,2008-07-14,390
2008-07-15,28.37,2008-07-15,390
2008-07-16,24.94,2008-07-16,390
2008-07-17,24.51,2008-07-17,390
2008-07-18,24.09,2008-07-18,390
2008-07-21,23.22,2008-07-21,390
2008-07-22,21.08,2008-07-22,390
2008-07-23,21.47,2008-07-23,390
2008-07-24,23.48,2008-07-24,390
2008-07-25,22.69,2008-07-25,390
2008-07-28,24.4,2008-07-28,389
2008-07-29,22.04,2008-07-29,390
2008-07-30,21.26,2008-07-30,390
2008-07-31,22.51,2008-07-31,390
2008-08-01,22.63,2008-08-01,390
2008-08-04,23.53,2008-08-04,390
2008-08-05,21.16,2008-08-05,390
2008-08-06,20.18,2008-08-06,390
2008-08-07,21.24,2008-08-07,390
2008-08-08,20.57,2008-08-08,390
2008-08-11,20.21,2008-08-11,390
2008-08-12,21.23,2008-08-12,390
2008-08-13,21.48,2008-08-13,390
2008-08-14,20.39,2008-08-14,390
2008-08-15,19.78,2008-08-15,390
2008-08-18,21.0,2008-08-18,390
2008-08-19,21.37,2008-08-19,390
2008-08-20,20.39,2008-08-20,390
2008-08-21,19.7,2008-08-21,390
2008-08-22,18.79,2008-08-22,390
2008-08-25,20.92,2008-08-25,390
2008-08-26,20.51,2008-08-26,390
2008-08-27,19.77,2008-08-27,390
2008-08-28,19.4,2008-08-28,390
2008-08-29,20.68,2008-08-29,390
2008-09-02,21.96,2008-09-02,390
2008-09-03,21.42,2008-09-03,390
2008-09-04,24.08,2008-09-04,390
2008-09-05,23.07,2008-09-05,390
2008-09-08,22.82,2008-09-08,390
2008-09-09,25.53,2008-09-09,390
2008-09-10,24.48,2008-09-10,390
2008-09-11,24.51,2008-09-11,390
2008-09-12,25.75,2008-09-12,390
2008-09-15,31.06,2008-09-15,390
2008-09-16,30.53,2008-09-16,370
2008-09-17,36.18,2008-09-17,390
2008-09-18,33.51,2008-09-18,390
2008-09-19,31.31,2008-09-19,390
2008-09-22,34.1,2008-09-22,390
2008-09-23,35.38,2008-09-23,390
2008-09-24,35.75,2008-09-24,390
2008-09-25,32.73,2008-09-25,390
2008-09-26,34.52,2008-09-26,390
2008-09-29,46.84,2008-09-29,390
2008-09-30,39.29,2008-09-30,390
2008-10-01,40.02,2008-10-01,390
2008-10-02,46.47,2008-10-02,390
2008-10-03,45.15,2008-10-03,390
2008-10-06,50.92,2008-10-06,390
2008-10-07,53.66,2008-10-07,390
2008-10-08,57.38,2008-10-08,390
2008-10-09,62.78,2008-10-09,390
2008-10-10,68.84,2008-10-10,390
2008-10-13,54.78,2008-10-13,390
2008-10-14,55.43,2008-10-14,381
2008-10-15,68.41,2008-10-15,390
2008-10-16,67.05,2008-10-16,390
2008-10-17,69.69,2008-10-17,390
2008-10-20,53.97,2008-10-20,390
2008-10-21,53.93,2008-10-21,390
2008-10-22,69.07,2008-10-22,381
2008-10-23,69.27,2008-10-23,390
2008-10-24,78.71,2008-10-24,390
2008-10-27,78.15,2008-10-27,390
2008-10-28,65.89,2008-10-28,388
2008-10-29,69.89,2008-10-29,387
2008-10-30,63.53,2008-10-30,390
2008-10-31,58.99,2008-10-31,378
2008-11-03,54.2,2008-11-03,390
2008-11-04,47.76,2008-11-04,390
2008-11-05,55.22,2008-11-05,390
2008-11-06,63.9,2008-11-06,390
2008-11-07,57.39,2008-11-07,390
2008-11-10,60.08,2008-11-10,390
2008-11-11,61.14,2008-11-11,390
2008-11-12,66.43,2008-11-12,390
2008-11-13,59.39,2008-11-13,390
2008-11-14,65.34,2008-11-14,390
2008-11-17,69.19,2008-11-17,390
2008-11-18,68.64,2008-11-18,390
2008-11-19,74.65,2008-11-19,388
2008-11-20,81.08,2008-11-20,390
2008-11-21,72.05,2008-11-21,390
2008-11-24,64.67,2008-11-24,390
2008-11-25,60.91,2008-11-25,377
2008-11-26,54.93,2008-11-26,389
2008-11-28,55.28,2008-11-28,268
2008-12-01,68.21,2008-12-01,390
2008-12-02,63.23,2008-12-02,390
2008-12-03,60.76,2008-12-03,390
2008-12-04,64.08,2008-12-04,390
2008-12-05,59.73,2008-12-05,390
2008-12-08,57.99,2008-12-08,390
2008-12-09,58.8,2008-12-09,390
2008-12-10,55.72,2008-12-10,390
2008-12-11,55.85,2008-12-11,390
2008-12-12,54.73,2008-12-12,390
2008-12-15,57.01,2008-12-15,390
2008-12-16,50.96,2008-12-16,390
2008-12-17,49.88,2008-12-17,389
2008-12-18,48.15,2008-12-18,390
2008-12-19,45.38,2008-12-19,390
2008-12-22,44.74,2008-12-22,390
2008-12-23,44.85,2008-12-23,390
2008-12-24,44.21,2008-12-24,225
2008-12-26,43.43,2008-12-26,390
2008-12-29,44.16,2008-12-29,390
2008-12-30,41.83,2008-12-30,390
2008-12-31,39.39,2008-12-31,390
2009-01-02,38.39,2009-01-02,390
2009-01-05,39.19,2009-01-05,390
2009-01-06,38.48,2009-01-06,390
2009-01-07,43.42,2009-01-07,388
2009-01-08,42.63,2009-01-08,379
2009-01-09,42.96,2009-01-09,390
2009-01-12,46.08,2009-01-12,390
2009-01-13,43.42,2009-01-13,390
2009-01-14,49.02,2009-01-14,390
2009-01-15,51.01,2009-01-15,390
2009-01-16,46.35,2009-01-16,390
2009-01-20,56.91,2009-01-20,390
2009-01-21,46.43,2009-01-21,386
2009-01-22,47.77,2009-01-22,390
2009-01-23,47.0,2009-01-23,390
2009-01-26,45.53,2009-01-26,390
2009-01-27,42.39,2009-01-27,390
2009-01-28,39.78,2009-01-28,390
2009-01-29,42.73,2009-01-29,390
2009-01-30,45.06,2009-01-30,390
2009-02-02,45.58,2009-02-02,390
2009-02-03,42.94,2009-02-03,390
2009-02-04,43.95,2009-02-04,390
2009-02-05,43.45,2009-02-05,390
2009-02-06,43.64,2009-02-06,390
2009-02-09,43.55,2009-02-09,390
2009-02-10,46.86,2009-02-10,390
2009-02-11,44.62,2009-02-11,390
2009-02-12,41.98,2009-02-12,390
2009-02-13,42.57,2009-02-13,390
2009-02-17,48.36,2009-02-17,390
2009-02-18,46.11,2009-02-18,390
2009-02-19,47.08,2009-02-19,390
2009-02-20,49.35,2009-02-20,390
2009-02-23,52.93,2009-02-23,390
2009-02-24,44.81,2009-02-24,390
2009-02-25,44.35,2009-02-25,390
2009-02-26,44.9,2009-02-26,390
2009-02-27,46.06,2009-02-27,390
2009-03-02,52.95,2009-03-02,390
2009-03-03,49.79,2009-03-03,390
2009-03-04,47.01,2009-03-04,390
2009-03-05,50.68,2009-03-05,390
2009-03-06,49.94,2009-03-06,390
2009-03-09,49.98,2009-03-09,390
2009-03-10,44.33,2009-03-10,390
2009-03-11,43.45,2009-03-11,390
2009-03-12,41.33,2009-03-12,390
2009-03-13,42.26,2009-03-13,390
2009-03-16,43.98,2009-03-16,390
2009-03-17,41.01,2009-03-17,390
2009-03-18,40.59,2009-03-18,390
2009-03-19,43.93,2009-03-19,390
2009-03-20,46.5,2009-03-20,390
2009-03-23,42.33,2009-03-23,390
2009-03-24,43.03,2009-03-24,390
2009-03-25,42.11,2009-03-25,390
2009-03-26,40.48,2009-03-26,390
2009-03-27,41.2,2009-03-27,390
2009-03-30,45.67,2009-03-30,390
2009-03-31,43.85,2009-03-31,390
2009-04-01,42.44,2009-04-01,390
2009-04-02,42.45,2009-04-02,390
2009-04-03,40.32,2009-04-03,390
2009-04-06,40.95,2009-04-06,390
2009-04-07,40.71,2009-04-07,390
2009-04-08,38.96,2009-04-08,390
2009-04-09,36.88,2009-04-09,390
2009-04-13,37.76,2009-04-13,390
2009-04-14,37.73,2009-04-14,390
2009-04-15,36.22,2009-04-15,390
2009-04-16,35.84,2009-04-16,390
2009-04-17,33.95,2009-04-17,390
2009-04-20,39.51,2009-04-20,390
2009-04-21,37.24,2009-04-21,390
2009-04-22,37.86,2009-04-22,390
2009-04-23,37.22,2009-04-23,390
2009-04-24,36.87,2009-04-24,390
2009-04-27,38.62,2009-04-27,390
2009-04-28,38.05,2009-04-28,390
2009-04-29,36.25,2009-04-29,390
2009-04-30,36.25,2009-04-30,390
2009-05-01,35.38,2009-05-01,390
2009-05-04,34.31,2009-05-04,390
2009-05-05,33.71,2009-05-05,390
2009-05-06,32.52,2009-05-06,390
2009-05-07,33.72,2009-05-07,390
2009-05-08,31.95,2009-05-08,390
2009-05-11,33.25,2009-05-11,390
2009-05-12,31.97,2009-05-12,390
2009-05-13,33.67,2009-05-13,390
2009-05-14,31.39,2009-05-14,390
2009-05-15,33.26,2009-05-15,387
2009-05-18,30.0,2009-05-18,390
2009-05-19,28.72,2009-05-19,390
2009-05-20,29.07,2009-05-20,389
2009-05-21,31.81,2009-05-21,390
2009-05-22,32.55,2009-05-22,390
2009-05-26,30.8,2009-05-26,390
2009-05-27,32.45,2009-05-27,390
2009-05-28,31.71,2009-05-28,390
2009-05-29,29.19,2009-05-29,390
2009-06-01,29.89,2009-06-01,390
2009-06-02,29.53,2009-06-02,390
2009-06-03,31.06,2009-06-03,390
2009-06-04,30.14,2009-06-04,390
2009-06-05,29.64,2009-06-05,390
2009-06-08,29.94,2009-06-08,381
2009-06-09,28.09,2009-06-09,390
2009-06-10,28.64,2009-06-10,390
2009-06-11,28.01,2009-06-11,390
2009-06-12,28.13,2009-06-12,390
2009-06-15,30.8,2009-06-15,390
2009-06-16,32.67,2009-06-16,390
2009-06-17,31.45,2009-06-17,383
2009-06-18,30.06,2009-06-18,390
2009-06-19,28.0,2009-06-19,390
2009-06-22,31.14,2009-06-22,390
2009-06-23,30.59,2009-06-23,390
2009-06-24,29.15,2009-06-24,390
2009-06-25,26.44,2009-06-25,390
2009-06-26,26.06,2009-06-26,390
2009-06-29,25.35,2009-06-29,390
2009-06-30,26.55,2009-06-30,390
2009-07-01,26.27,2009-07-01,390
2009-07-02,27.83,2009-07-02,390
2009-07-06,29.22,2009-07-06,390
2009-07-07,30.89,2009-07-07,390
2009-07-08,31.19,2009-07-08,390
2009-07-09,29.91,2009-07-09,390
2009-07-10,28.97,2009-07-10,390
2009-07-13,25.66,2009-07-13,390
2009-07-14,25.12,2009-07-14,390
2009-07-15,25.89,2009-07-15,390
2009-07-16,25.19,2009-07-16,390
2009-07-17,24.27,2009-07-17,390
2009-07-20,24.37,2009-07-20,390
2009-07-21,23.9,2009-07-21,390
2009-07-22,23.37,2009-07-22,389
2009-07-23,23.34,2009-07-23,390
2009-07-24,23.15,2009-07-24,390
2009-07-27,24.29,2009-07-27,390
2009-07-28,24.95,2009-07-28,390
2009-07-29,25.7,2009-07-29,390
2009-07-30,25.45,2009-07-30,390
2009-07-31,25.8,2009-07-31,390
2009-08-03,25.59,2009-08-03,390
2009-08-04,25.02,2009-08-04,390
2009-08-05,24.93,2009-08-05,390
2009-08-06,25.7,2009-08-06,390
2009-08-07,24.73,2009-08-07,390
2009-08-10,25.04,2009-08-10,390
2009-08-11,25.96,2009-08-11,390
2009-08-12,25.45,2009-08-12,390
2009-08-13,24.9,2009-08-13,390
2009-08-14,24.45,2009-08-14,390
2009-08-17,27.74,2009-08-17,390
2009-08-18,26.27,2009-08-18,390
2009-08-19,26.43,2009-08-19,390
2009-08-20,24.98,2009-08-20,390
2009-08-21,25.01,2009-08-21,390
2009-08-24,25.11,2009-08-24,390
2009-08-25,24.95,2009-08-25,379
2009-08-26,24.97,2009-08-26,390
2009-08-27,24.69,2009-08-27,390
2009-08-28,24.68,2009-08-28,390
2009-08-31,26.09,2009-08-31,390
2009-09-01,29.11,2009-09-01,390
2009-09-02,28.93,2009-09-02,390
2009-09-03,27.06,2009-09-03,390
2009-09-04,25.12,2009-09-04,390
2009-09-08,25.65,2009-09-08,390
2009-09-09,24.28,2009-09-09,390
2009-09-10,23.51,2009-09-10,390
2009-09-11,24.1,2009-09-11,390
2009-09-14,23.83,2009-09-14,390
2009-09-15,23.31,2009-09-15,390
2009-09-16,23.74,2009-09-16,388
2009-09-17,23.7,2009-09-17,390
2009-09-18,23.84,2009-09-18,390
2009-09-21,24.02,2009-09-21,390
2009-09-22,23.19,2009-09-22,390
2009-09-23,23.57,2009-09-23,390
2009-09-24,24.92,2009-09-24,390
2009-09-25,25.36,2009-09-25,390
2009-09-28,24.98,2009-09-28,390
2009-09-29,25.08,2009-09-29,390
2009-09-30,25.86,2009-09-30,390
2009-10-01,28.39,2009-10-01,390
2009-10-02,28.65,2009-10-02,390
2009-10-05,26.96,2009-10-05,390
2009-10-06,25.64,2009-10-06,390
2009-10-07,24.75,2009-10-07,390
2009-10-08,24.35,2009-10-08,390
2009-10-09,23.05,2009-10-09,390
2009-10-12,23.21,2009-10-12,336
